Run Number,Variable,Mean (Normalised),SD (Normalised),HP95 (Normalised),HP05 (Normalised),Mean,SD,HP95,HP05
5,FRS,0.38465446472735493,0.0705725717705343,0.5021188383798086,0.2687761216125733,0.05785546093333333,0.010614743993493141,0.07552315,0.040426325
5,sigma_C_D,0.050679655138593335,0.056618615969777714,0.14352187626716212,-0.043348109915388296,0.039532166052,0.044236133677287626,0.11189634999999998,-0.034513234999999996
5,sigma_C_S,-0.001318787998740806,0.043604494073011424,0.07185560030274482,-0.07207268353374172,-6.091157491333333e-4,0.024070814263162897,0.040183909999999996,-0.039400335
5,sigma_H_D,0.04731402515036181,0.054620911791793694,0.13229918544925476,-0.044705814591439755,0.039184769151333336,0.045217465788210495,0.10961765,-0.037012205
5,sigma_H_S,0.07496419878207575,0.04471975113309269,0.14586823704646978,0.0018630512643925499,0.047897532448133336,0.029055395838408216,0.09440623,0.0011649445000000002
6,D_i_D,0.10923973734524851,0.028646272615089632,0.1559417950528427,0.06263478413946422,0.023992693913333335,0.006293509062227679,0.034291575,0.01377282
6,D_i_S,0.11065102455829873,0.02632666325911452,0.1511503255725604,0.06507624896562937,0.016744148166666667,0.003983775566409013,0.022876814999999995,0.0098425355
6,FRS,0.13236907557046865,0.03356990432515533,0.18673115141914048,0.07627300517166641,0.01990948912,0.005049212907476337,0.02808603,0.011472139999999999
6,sigma_C_D,0.03676429466650827,0.028354797227511056,0.08353553852090707,-0.008759105915990679,0.02861981986322,0.022061302370398567,0.06493160499999999,-0.006878472999999999
6,sigma_C_S,0.004667577548353889,0.023371775336949847,0.044248976694172534,-0.03216030055451503,0.002682011795704667,0.012939931945984926,0.02454106,-0.017594005
6,sigma_H_D,0.02203462153759667,0.02803057781321396,0.06767096205590921,-0.02395425323319911,0.018153976405266666,0.023156851417408156,0.056038994999999994,-0.019616015
6,sigma_H_S,0.043602426810041825,0.023687347785462793,0.08088375346945038,0.004569428092522118,0.027228490603,0.014970504971579939,0.05197145,0.002935807
7,D_i_D,0.149182405530993,0.05759735031430264,0.24211286694316048,0.05399589082692077,0.03276454430293333,0.012647903364546359,0.05331906499999999,0.011873644999999999
7,D_i_S,0.17483620976509354,0.049736780294482336,0.25495867551932794,0.09138489282602466,0.026449880722,0.0075258047979865775,0.03855843999999999,0.013887549999999999
7,FRS,0.4646262635001842,0.07235663978801268,0.5852567622196813,0.3479845827996998,0.0689080222,0.010731104400489416,0.08679855000000002,0.05160907
7,sigma_C_D,0.047752086530583306,0.05920588018087589,0.14353911695328567,-0.04844122468448677,0.037125822180133335,0.046065720760204175,0.1122745,-0.03724670000000001
7,sigma_C_S,-0.010742594251696902,0.04421331132344226,0.0603980267678927,-0.08829717040211832,-0.0058649045132,0.02437151436022174,0.03333528999999999,-0.04790325
7,sigma_H_D,0.041421649716621906,0.05080038542688104,0.1198099522287648,-0.048442654781475365,0.03437533847033333,0.04206611521122491,0.099551965,-0.03951640999999999
7,sigma_H_S,0.07567933497227948,0.045085250813793484,0.1446605409662671,2.7753739172204164e-4,0.0485201365432,0.02929484099643299,0.09428686499999998,1.7183179000000067e-4
8,D_i_D,0.11176559347520623,0.028935365965640926,0.15992364349595461,0.06353954110139744,0.02454868252,0.006362492648814881,0.035133914999999995,0.013956755
8,D_i_S,0.11044662236718242,0.02653845856694376,0.15516843576441006,0.06806333048071868,0.01670221976,0.0040140013309137215,0.023410354999999997,0.010275155000000001
8,FRS,0.1598968312788812,0.034639925779221425,0.2172919349564524,0.1040224292460592,0.023714058513333334,0.005137395283295249,0.03222624,0.015427409999999999
8,sigma_C_D,0.03884864244672991,0.02924518478322341,0.08644024605431684,-0.012089893938293964,0.030243870121546668,0.022764511303931024,0.06747314500000001,-0.009379387999999999
8,sigma_C_S,0.004934293642276229,0.025242903863789475,0.047790518424321284,-0.034987820156522575,0.00287386359062,0.014030351050144111,0.0269849,-0.019098854999999998
8,sigma_H_D,0.02150137994715866,0.027691713244326302,0.06444238625446659,-0.025023885186111188,0.017728009576226667,0.02285868354681804,0.05290211999999998,-0.020986235000000002
8,sigma_H_S,0.038307340580342304,0.024237598230968445,0.07655247890939473,-0.0018550160450619857,0.024245857508226668,0.015315698815910907,0.048081785,-0.0011997809999999996
